AttentionType,Percentage of Correct Responses,Commision Errors,Omission Errors,Mean Reaction Time,Total Duration
Focused,96.02881,,3.97119,1291.753,
Selective,93.31083,4.03721,6.60206,,12678.555
Sustained,87.32437,,15.23973,1079.436,72451.385
Divided,82.5,33.125,17.5,1009.425,
Alternating,94.46693,19.163292,5.53306,1174.46153,
